year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1933,Little Women,1,Not Rated,"English, German",USA,"Louisa May Alcott (by), Sarah Y. Mason (screen play), Victor Heerman (screen play)",7.4,George Cukor,"Katharine Hepburn, Joan Bennett, Paul Lukas, Edna May Oliver","Drama, Family, Romance",movie,NA,115,1,USA,English,Drama,George Cukor,Louisa May Alcott (by)
1933,Alice in Wonderland,1,NA,English,USA,"Joseph L. Mankiewicz (screen play), William Cameron Menzies (screen play), Lewis Carroll",6.6,Norman Z. McLeod,"Richard Arlen, Roscoe Ates, William Austin, Gary Cooper","Adventure, Family, Fantasy",movie,NA,76,0,USA,English,Adventure,Norman Z. McLeod,Joseph L. Mankiewicz (screen play)
1933,The Vampire Bat,1,TV-PG,English,USA,Edward T. Lowe Jr. (screen story),5.7,Frank R. Strayer,"Lionel Atwill, Fay Wray, Melvyn Douglas, Maude Eburne","Drama, Horror, Mystery",movie,NA,65,0,USA,English,Drama,Frank R. Strayer,Edward T. Lowe Jr. (screen story)
1933,42nd Street,1,Unrated,English,USA,"Rian James (screen play), James Seymour (screen play), Bradford Ropes (based on the novel by)",7.8,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler","Comedy, Musical, Romance",movie,NA,89,1,USA,English,Comedy,Lloyd Bacon,Rian James (screen play)
1933,Day of Reckoning,1,NA,English,USA,"Zelda Sears (screen play), Eve Greene (screen play), Morris Lavine (from the novel by)",6.6,Charles Brabin,"Richard Dix, Madge Evans, Conway Tearle, Una Merkel",Drama,movie,117,69,0,USA,English,Drama,Charles Brabin,Zelda Sears (screen play)
1933,Duck Soup,0,NA,English,USA,"Bert Kalmar (story), Harry Ruby (story), Arthur Sheekman (additional dialogue), Nat Perrin (additional dialogue)",8.1,Leo McCarey,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx","Comedy, Musical",movie,NA,68,1,USA,English,Comedy,Leo McCarey,Bert Kalmar (story)
1934,It Happened One Night,1,Unrated,English,USA,"Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by)",8.3,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns","Comedy, Romance",movie,NA,105,1,USA,English,Comedy,Frank Capra,Robert Riskin (screen play)
1934,The Cat&#39;s-Paw,0,Approved,"English, Cantonese, German",USA,"Clarence Budington Kelland (story), Sam Taylor (screen play)",6.9,"Sam Taylor, Harold Lloyd","Harold Lloyd, Una Merkel, George Barbier, Nat Pendleton",Comedy,movie,713,102,0,USA,English,Comedy,Sam Taylor,Clarence Budington Kelland (story)
1934,The Scarlet Empress,1,Approved,English,USA,"Catherine II (diary), Manuel Komroff (diary arranger)",7.8,Josef von Sternberg,"Marlene Dietrich, John Lodge, Sam Jaffe, Louise Dresser","Drama, History, Romance",movie,NA,104,1,USA,English,Drama,Josef von Sternberg,Catherine II (diary)
1934,The Painted Veil,0,NA,English,USA,"John Meehan (screen play), Salka Viertel (screen play), Edith Fitzgerald (screen play), W. Somerset Maugham (from the novel by)",6.7,Richard Boleslawski,"Greta Garbo, Herbert Marshall, George Brent, Warner Oland","Drama, Romance",movie,751,85,0,USA,English,Drama,Richard Boleslawski,John Meehan (screen play)
1934,The Count of Monte Cristo,0,Unrated,English,USA,"Alexandre Dumas père (novel), Philip Dunne (screenplay), Dan Totheroh (screenplay), Rowland V. Lee (screenplay), Philip Dunne (dialogue), Dan Totheroh (dialogue), Rowland V. Lee (dialogue)",7.7,Rowland V. Lee,"Robert Donat, Elissa Landi, Louis Calhern, Sidney Blackmer","Action, Adventure, Drama",movie,NA,113,1,USA,English,Action,Rowland V. Lee,Alexandre Dumas père (novel)
1934,Cleopatra,0,Not Rated,English,USA,"Bartlett Cormack (from an adaptation by: historical material), Waldemar Young (screen play), Vincent Lawrence (screen play)",7,Cecil B. DeMille,"Claudette Colbert, Warren William, Henry Wilcoxon, Joseph Schildkraut","Biography, Drama",movie,NA,100,1,USA,English,Biography,Cecil B. DeMille,Bartlett Cormack (from an adaptation by: historical material)
1934,Of Human Bondage,0,NA,English,USA,"Lester Cohen (screen play), W. Somerset Maugham (from the novel by)",7.3,John Cromwell,"Leslie Howard, Bette Davis, Frances Dee, Kay Johnson","Drama, Romance",movie,NA,83,0,USA,English,Drama,John Cromwell,Lester Cohen (screen play)
1934,L’atalante,0,Not Rated,"French, Russian",France,"Jean Guinée (scenario), Albert Riéra (adaptation), Albert Riéra (dialogue), Jean Vigo (adaptation), Jean Vigo (dialogue)",7.9,Jean Vigo,"Michel Simon, Dita Parlo, Jean Dasté, Gilles Margaritis","Drama, Romance",movie,NA,89,0,France,French,Drama,Jean Vigo,Jean Guinée (scenario)
1934,The Lost Patrol,0,NA,English,USA,"Dudley Nichols (screenplay), Garrett Fort (adaptation), Philip MacDonald (story)",7.1,John Ford,"Victor McLaglen, Boris Karloff, Wallace Ford, Reginald Denny","Adventure, War",movie,NA,73,1,USA,English,Adventure,John Ford,Dudley Nichols (screenplay)
1934,Spitfire,1,NA,English,USA,"Lula Vollmer (from the play by), Jane Murfin (screen play), Lula Vollmer (screen play)",5.5,John Cromwell,"Katharine Hepburn, Robert Young, Ralph Bellamy, Martha Sleeper",Drama,movie,431,87,0,USA,English,Drama,John Cromwell,Lula Vollmer (from the play by)
1934,Maniac,1,Not Rated,English,USA,Hildegarde Stadie (story),3.4,Dwain Esper,"William Woods, Horace B. Carpenter, Ted Edwards, Phyllis Diller","Horror, Thriller",movie,NA,51,0,USA,English,Horror,Dwain Esper,Hildegarde Stadie (story)
1934,Anne of Green Gables,1,Approved,English,USA,"Sam Mintz (screen play), Lucy Maud Montgomery (from the book ""Anne of Green Gables"")",7,George Nichols Jr.,"Anne Shirley, Tom Brown, O.P. Heggie, Helen Westley","Comedy, Drama, Family",movie,532,78,0,USA,English,Comedy,George Nichols Jr.,Sam Mintz (screen play)
1935,Top Hat,0,TV-G,"English, Italian",USA,"Dwight Taylor (screen play), Allan Scott (screen play), Dwight Taylor (story)",7.9,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes","Comedy, Musical, Romance",movie,NA,101,1,USA,English,Comedy,Mark Sandrich,Dwight Taylor (screen play)
1935,The 39 Steps,1,Unrated,English,UK,"John Buchan (adapted from the novel by), Charles Bennett (adaptation), Ian Hay (dialogue)",7.9,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle","Comedy, Mystery, Thriller",movie,NA,86,1,UK,English,Comedy,Alfred Hitchcock,John Buchan (adapted from the novel by)
1935,Anna Karenina,0,NA,English,USA,"Leo Tolstoy (from the novel by), Clemence Dane (screen play), Salka Viertel (screen play), S.N. Behrman (dialogue adaptation)",7.1,Clarence Brown,"Greta Garbo, Fredric March, Freddie Bartholomew, Maureen O'Sullivan","Drama, Romance",movie,NA,95,1,USA,English,Drama,Clarence Brown,Leo Tolstoy (from the novel by)
1935,Mutiny on the Bounty,0,Not Rated,"English, Polynesian",USA,"Talbot Jennings (screenplay), Jules Furthman (screenplay), Carey Wilson (screenplay), Charles Nordhoff (book), James Norman Hall (book), Margaret Booth",7.9,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin","Adventure, Drama, History",movie,NA,132,1,USA,English,Adventure,Frank Lloyd,Talbot Jennings (screenplay)
1935,Roberta,1,Approved,"English, French, Russian",USA,"Jerome Kern (from the play), Otto A. Harbach (book), Alice Duer Miller (novel), Jane Murfin (screen play), Sam Mintz (screen play), Allan Scott (screen play), Glenn Tryon (additional dialogue)",7.2,William A. Seiter,"Irene Dunne, Fred Astaire, Ginger Rogers, Randolph Scott","Comedy, Musical, Romance",movie,NA,106,0,USA,English,Comedy,William A. Seiter,Jerome Kern (from the play)
1935,Magnificent Obsession,1,NA,"English, French",USA,"Sarah Y. Mason (screenplay), Victor Heerman (screenplay), George O'Neil (screenplay), Lloyd C. Douglas (novel)",7.1,John M. Stahl,"Irene Dunne, Robert Taylor, Charles Butterworth, Betty Furness","Drama, Romance",movie,477,112,0,USA,English,Drama,John M. Stahl,Sarah Y. Mason (screenplay)
1935,A Night At The Opera,0,TV-G,"English, Italian",USA,"George S. Kaufman (screen play), Morrie Ryskind (screen play), James Kevin McGuinness (from a story by)",8.1,"Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle","Comedy, Music, Musical",movie,NA,96,1,USA,English,Comedy,Sam Wood,George S. Kaufman (screen play)
1935,The Bride of Frankenstein,1,Not Rated,English,USA,"Mary Shelley (suggested by: the original story written in 1916 by), William Hurlbut (adapted by), John L. Balderston (adapted by), William Hurlbut (screenplay)",7.9,James Whale,"Boris Karloff, Colin Clive, Valerie Hobson, Ernest Thesiger","Horror, Sci-Fi",movie,NA,75,1,USA,English,Horror,James Whale,Mary Shelley (suggested by: the original story written in 1916 by)
1936,Swing Time,0,Approved,"English, French",USA,"Howard Lindsay (screen play), Allan Scott (screen play), Erwin S. Gelsey (from a story by)",7.8,George Stevens,"Fred Astaire, Ginger Rogers, Victor Moore, Helen Broderick","Comedy, Musical, Romance",movie,NA,103,1,USA,English,Comedy,George Stevens,Howard Lindsay (screen play)
1936,Modern Times,0,G,English,USA,Charles Chaplin,8.6,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford","Comedy, Drama",movie,NA,87,1,USA,English,Comedy,Charles Chaplin,Charles Chaplin
1936,The Charge of the Light Brigade,0,TV-G,English,USA,"Alfred Lord Tennyson (poem), Michael Jacoby (story), Michael Jacoby (screenplay), Rowland Leigh (screenplay)",7.2,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Patric Knowles, Henry Stephenson","Action, Adventure, Romance",movie,NA,115,1,USA,English,Action,Michael Curtiz,Alfred Lord Tennyson (poem)
1936,Wife vs. Secretary,0,NA,English,USA,"Norman Krasna (screen play), John Lee Mahin (screen play), Faith Baldwin (from the story by: Cosmopolitan Magazine), Alice Duer Miller (screenplay)",7.1,Clarence Brown,"Clark Gable, Jean Harlow, Myrna Loy, May Robson","Comedy, Drama, Romance",movie,NA,88,0,USA,English,Comedy,Clarence Brown,Norman Krasna (screen play)
1936,The Petrified Forest,1,Not Rated,English,USA,"Charles Kenyon (screen play), Delmer Daves (screen play), Robert E. Sherwood (play)",7.7,Archie Mayo,"Leslie Howard, Bette Davis, Genevieve Tobin, Dick Foran","Crime, Drama, Film-Noir",movie,NA,82,0,USA,English,Crime,Archie Mayo,Charles Kenyon (screen play)
1936,Born to Dance,1,NA,English,USA,"Jack McGowan (screen play), Sid Silvers (screen play), Jack McGowan (from a story by), Sid Silvers (from a story by), Buddy G. DeSylva (from a story by)",6.8,Roy Del Ruth,"Eleanor Powell, James Stewart, Virginia Bruce, Una Merkel","Musical, Comedy",movie,660,106,0,USA,English,Musical,Roy Del Ruth,Jack McGowan (screen play)
1936,Revolt of the Zombies,0,Approved,English,USA,NA,3.1,Victor Halperin,"Dorothy Stone, Dean Jagger, Roy D'Arcy, Robert Noland",Horror,movie,991,65,0,USA,English,Horror,Victor Halperin,NA
1936,Earthworm Tractors,0,Approved,English,USA,"Richard Macaulay (screen play), Joe Traub (screen play), Hugh Cummings (screen play), William Hazlett Upson (from the stories by)",6.5,Ray Enright,"Joe E. Brown, June Travis, Guy Kibbee, Dick Foran",Comedy,movie,218,69,0,USA,English,Comedy,Ray Enright,Richard Macaulay (screen play)
1936,Osaka Elegy,1,NA,Japanese,Japan,"Tadashi Fujiwara (dialogue), Kenji Mizoguchi (story), Saburo Okada (story), Yoshikata Yoda (screenplay)",7.4,Kenji Mizoguchi,"Isuzu Yamada, Seiichi Takegawa, Chiyoko Ôkura, Shinpachirô Asaka",Drama,movie,930,90,0,Japan,Japanese,Drama,Kenji Mizoguchi,Tadashi Fujiwara (dialogue)
1936,Theodora Goes Wild,1,Approved,English,USA,"Sidney Buchman (screen play), Mary McCarthy (from an original story by)",7.4,Richard Boleslawski,"Irene Dunne, Melvyn Douglas, Thomas Mitchell, Thurston Hall","Comedy, Romance",movie,NA,94,0,USA,English,Comedy,Richard Boleslawski,Sidney Buchman (screen play)
1936,The Great Ziegfeld,1,Not Rated,English,USA,William Anthony McGuire (screenplay),6.9,Robert Z. Leonard,"William Powell, Myrna Loy, Luise Rainer, Frank Morgan","Biography, Drama, Musical",movie,NA,176,1,USA,English,Biography,Robert Z. Leonard,William Anthony McGuire (screenplay)
1936,The Mandarin Mystery,1,Approved,English,USA,"Frederic Dannay (story), Cortland Fitzsimmons (screenplay), John Francis Larkin (screenplay), Manfred Lee (story), Gertrude Orr (screenplay), Rex Taylor (screenplay)",5.3,Ralph Staub,"Eddie Quillan, Charlotte Henry, Rita La Roy, Wade Boteler","Comedy, Mystery",movie,199,66,0,USA,English,Comedy,Ralph Staub,Frederic Dannay (story)
1936,The Only Son,1,Not Rated,Japanese,Japan,"Yasujirô Ozu (short story), Tadao Ikeda (adaptation), Masao Arata (adaptation)",7.7,Yasujirô Ozu,"Chôko Iida, Shin'ichi Himori, Masao Hayama, Yoshiko Tsubouchi",Drama,movie,NA,87,0,Japan,Japanese,Drama,Yasujirô Ozu,Yasujirô Ozu (short story)
1936,Camille,1,NA,English,USA,"Zoe Akins (screen play), Frances Marion (screen play), James Hilton (screen play), Alexandre Dumas fils (from the play and novel by)",7.6,George Cukor,"Greta Garbo, Robert Taylor, Lionel Barrymore, Elizabeth Allan","Drama, Romance",movie,NA,109,1,USA,English,Drama,George Cukor,Zoe Akins (screen play)
1936,Pennies from Heaven,1,NA,English,USA,"Katherine Leslie Moore (novel), William Rankin (story), Jo Swerling (screenplay)",6.7,Norman Z. McLeod,"Bing Crosby, Madge Evans, Edith Fellows, Louis Armstrong","Comedy, Drama, Musical",movie,379,81,0,USA,English,Comedy,Norman Z. McLeod,Katherine Leslie Moore (novel)
1936,Romeo and Juliet,1,NA,English,USA,"William Shakespeare (play), Talbot Jennings (adaptation)",6.8,George Cukor,"Norma Shearer, Leslie Howard, John Barrymore, Edna May Oliver","Drama, Romance",movie,992,125,1,USA,English,Drama,George Cukor,William Shakespeare (play)
1936,Bullets or Ballots,1,Approved,English,USA,"Seton I. Miller (screen play), Martin Mooney (story), Seton I. Miller (story)",7.1,William Keighley,"Edward G. Robinson, Joan Blondell, Barton MacLane, Humphrey Bogart","Crime, Drama, Film-Noir",movie,NA,82,0,USA,English,Crime,William Keighley,Seton I. Miller (screen play)
1937,Shall We Dance,0,Approved,"English, French",USA,"Allan Scott (screen play), Ernest Pagano (screen play), P.J. Wolfson (adaptation), Lee Loeb (based on a story by), Harold Buchman (based on a story by)",7.6,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Eric Blore","Comedy, Musical, Romance",movie,NA,109,0,USA,English,Comedy,Mark Sandrich,Allan Scott (screen play)
1937,Stage Door,1,Approved,English,USA,"Morrie Ryskind (screen play), Anthony Veiller (screen play), Edna Ferber (from the play by), George S. Kaufman (from the play by)",7.8,Gregory La Cava,"Katharine Hepburn, Ginger Rogers, Adolphe Menjou, Gail Patrick","Comedy, Drama",movie,NA,92,1,USA,English,Comedy,Gregory La Cava,Morrie Ryskind (screen play)
1937,Stella Dallas,1,Approved,English,USA,"Sarah Y. Mason (screenplay), Victor Heerman (screenplay), Olive Higgins Prouty (novel), Harry Wagstaff Gribble (dramatization), Gertrude Purcell (dramatization)",7.5,King Vidor,"Barbara Stanwyck, John Boles, Anne Shirley, Barbara O'Neil","Drama, Romance",movie,NA,106,0,USA,English,Drama,King Vidor,Sarah Y. Mason (screenplay)
1937,Conquest,0,Approved,English,USA,"Waclaw Gasiorowski (novel), S.N. Behrman, Samuel Hoffenstein, Helen Jerome (dramatization), Salka Viertel",6.8,"Clarence Brown, Gustav Machatý","Greta Garbo, Charles Boyer, Reginald Owen, Alan Marshal","Drama, History, Romance",movie,847,113,0,USA,English,Drama,Clarence Brown,Waclaw Gasiorowski (novel)
1937,Topper,0,NA,English,USA,"Jack Jevne (screen play), Eric Hatch (screen play), Eddie Moran (screen play), Thorne Smith (based on the novel by)",7.5,Norman Z. McLeod,"Constance Bennett, Cary Grant, Roland Young, Billie Burke","Comedy, Fantasy, Romance",movie,NA,97,0,USA,English,Comedy,Norman Z. McLeod,Jack Jevne (screen play)
1937,Lost Horizon,0,Unrated,"English, Mandarin",USA,"Robert Riskin (screenplay), James Hilton (novel)",7.9,Frank Capra,"Ronald Colman, Jane Wyatt, Edward Everett Horton, John Howard","Adventure, Drama, Fantasy",movie,NA,97,1,USA,English,Adventure,Frank Capra,Robert Riskin (screenplay)
1937,The Prisoner of Zenda,0,Approved,English,USA,"Anthony Hope (celebrated novel), John L. Balderston (screen play), Edward E. Rose (dramatization), Wells Root (adaptation), Donald Ogden Stewart (additional dialogue)",7.8,"John Cromwell, W.S. Van Dyke","Ronald Colman, Madeleine Carroll, C. Aubrey Smith, Raymond Massey","Adventure, Drama, Romance",movie,NA,101,1,USA,English,Adventure,John Cromwell,Anthony Hope (celebrated novel)
1937,Parnell,0,NA,English,USA,"John Van Druten (screen play), S.N. Behrman (screen play), Elsie T. Schauffler (from the play by)",5.1,John M. Stahl,"Clark Gable, Myrna Loy, Edna May Oliver, Edmund Gwenn","Biography, Drama, Romance",movie,255,118,0,USA,English,Biography,John M. Stahl,John Van Druten (screen play)
1937,Snow White and the Seven Dwarfs,1,Approved,English,USA,"Jacob Grimm (fairy tales), Wilhelm Grimm (fairy tales), Ted Sears (story), Richard Creedon (story), Otto Englander (story), Dick Rickard (story), Earl Hurd (story), Merrill De Maris (story), Dorothy Ann Blank (story), Webb Smith (story)",7.7,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen","Roy Atwell, Stuart Buchanan, Adriana Caselotti, Hall Johnson Choir","Animation, Family, Fantasy",movie,NA,83,1,USA,English,Animation,William Cottrell,Jacob Grimm (fairy tales)
1937,A Day at the Races,0,NA,"English, Italian",USA,"Robert Pirosh (screen play), George Seaton (screen play), George Oppenheimer (screen play), Robert Pirosh (original story), George Seaton (original story)",7.7,Sam Wood,"The Marx Brothers, Groucho Marx, Chico Marx, Harpo Marx","Comedy, Sport",movie,NA,111,0,USA,English,Comedy,Sam Wood,Robert Pirosh (screen play)
1937,Nothing Sacred,0,TV-PG,English,USA,"Ben Hecht (screen play), James H. Street (suggested by a story by)",7.6,William A. Wellman,"Carole Lombard, Fredric March, Charles Winninger, Walter Connolly","Comedy, Drama, Romance",movie,NA,77,0,USA,English,Comedy,William A. Wellman,Ben Hecht (screen play)
1937,Make Way for Tomorrow,1,NA,English,USA,"Viña Delmar (screen play), Josephine Lawrence (based on a novel by), Helen Leary (play), Nolan Leary (play)",8.1,Leo McCarey,"Victor Moore, Beulah Bondi, Fay Bainter, Thomas Mitchell","Drama, Romance",movie,NA,91,1,USA,English,Drama,Leo McCarey,Viña Delmar (screen play)
1938,Carefree,0,NA,English,USA,"Allan Scott (screen play), Ernest Pagano (screen play), Dudley Nichols (story), Hagar Wilde (story), Marian Ainslee (based on an original idea by), Guy Endore (based on an original idea by)",7.2,Mark Sandrich,"Fred Astaire, Ginger Rogers, Ralph Bellamy, Luella Gear","Comedy, Musical, Romance",movie,NA,83,0,USA,English,Comedy,Mark Sandrich,Allan Scott (screen play)
1938,The Lady Vanishes,1,NA,"English, German, French, Italian",UK,"Ethel Lina White (based upon the story: ""The Wheel Spins"" by), Sidney Gilliat (screen play), Frank Launder (screen play)",8,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas, Dame May Whitty","Comedy, Mystery, Thriller",movie,NA,96,1,UK,English,Comedy,Alfred Hitchcock,"Ethel Lina White (based upon the story: ""The Wheel Spins"" by)"
